antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'beef'}),frozenset({'whole milk'}),0.11954848640328374,0.4581836839404823,0.06413545407901487,0.5364806866952789,1.1708856196742425,0.009360288169249671,1.1689185337209964,0.16576223776223764
frozenset({'bottled beer'}),frozenset({'other vegetables'}),0.15879938429964083,0.3766033863519754,0.06849666495638788,0.43134087237479807,1.1453451774638712,0.00869227907853444,1.096257113204907,0.150856717300995
frozenset({'bottled beer'}),frozenset({'whole milk'}),0.15879938429964083,0.4581836839404823,0.08542842483324782,0.5379644588045235,1.174123997995539,0.012669137927357993,1.1726723763665787,0.1762970655925825
frozenset({'bottled water'}),frozenset({'other vegetables'}),0.21369933299127758,0.3766033863519754,0.09389430477167779,0.43937575030012005,1.1666802960966403,0.013414412306004236,1.1119686920102883,0.1816953262197024
frozenset({'bottled water'}),frozenset({'whole milk'}),0.21369933299127758,0.4581836839404823,0.11236531554643407,0.5258103241296519,1.1475972247801696,0.014451767900866663,1.1426151677913374,0.16356864585428352
frozenset({'brown bread'}),frozenset({'whole milk'}),0.13596716264751155,0.4581836839404823,0.06977937403796819,0.5132075471698113,1.1200912759618837,0.00748143856119661,1.1130335174866062,0.12408743188486798
frozenset({'butter'}),frozenset({'whole milk'}),0.12647511544381734,0.4581836839404823,0.06618778860954336,0.5233265720081136,1.142176359287585,0.008238954288697337,1.1366614630525202,0.14250133752233943
frozenset({'canned beer'}),frozenset({'other vegetables'}),0.16521292970754234,0.3766033863519754,0.0672139558748076,0.40683229813664595,1.0802672330631102,0.004994207077816275,1.0509618303385546,0.08900847811501512
frozenset({'canned beer'}),frozenset({'rolls/buns'}),0.16521292970754234,0.3496664956387891,0.06670087224217547,0.4037267080745341,1.1546050682865252,0.008931446077121548,1.0906634812724474,0.1604037634154413
frozenset({'canned beer'}),frozenset({'whole milk'}),0.16521292970754234,0.4581836839404823,0.08722421754746024,0.5279503105590062,1.1522678110632734,0.011526348779458531,1.1477950905997678,0.15829928775443783
frozenset({'citrus fruit'}),frozenset({'other vegetables'}),0.18547973319651104,0.3766033863519754,0.07747562852744998,0.41770401106500693,1.1091350375554476,0.007623332905983021,1.0705837331770116,0.12080304531469994
frozenset({'citrus fruit'}),frozenset({'whole milk'}),0.18547973319651104,0.4581836839404823,0.09235505387378143,0.4979253112033195,1.0867373253474464,0.007371266421506234,1.0791548113251552,0.09798950131233596
frozenset({'curd'}),frozenset({'whole milk'}),0.12083119548486403,0.4581836839404823,0.06362237044638276,0.5265392781316348,1.149188189337689,0.008259488164195188,1.1443743715875914,0.14766277285691426
frozenset({'domestic eggs'}),frozenset({'whole milk'}),0.1331452026680349,0.4581836839404823,0.07029245767060031,0.5279383429672447,1.152241691425711,0.009287498213157955,1.1477659919791416,0.15242059694592844
frozenset({'frankfurter'}),frozenset({'other vegetables'}),0.1375064135454079,0.3766033863519754,0.061056952283222166,0.44402985074626866,1.1790383911505145,0.009271571296906408,1.1212771305883933,0.1760606681697068
frozenset({'frankfurter'}),frozenset({'whole milk'}),0.1375064135454079,0.4581836839404823,0.06798358132375577,0.4944029850746269,1.0790497401012853,0.004980386200077347,1.0716366989221457,0.08493821063383211
frozenset({'fruit/vegetable juice'}),frozenset({'whole milk'}),0.12493586454592098,0.4581836839404823,0.062339661364802464,0.4989733059548255,1.089024606165683,0.005096086690863297,1.0814120734466603,0.09341841271220083
frozenset({'newspapers'}),frozenset({'whole milk'}),0.13981528989225245,0.4581836839404823,0.07234479220112879,0.5174311926605504,1.129309512312892,0.008283707607090074,1.1227752557126887,0.13311462372005153
frozenset({'pastry'}),frozenset({'other vegetables'}),0.1775269368907132,0.3766033863519754,0.0715751667521806,0.4031791907514451,1.0705670882487281,0.004717921150444587,1.044528950712913,0.08014319029955017
frozenset({'pip fruit'}),frozenset({'other vegetables'}),0.17060030785017957,0.3766033863519754,0.07234479220112879,0.42406015037593986,1.126012579131753,0.008096138552061663,1.0823988200416093,0.13492946190987
frozenset({'rolls/buns'}),frozenset({'other vegetables'}),0.3496664956387891,0.3766033863519754,0.14674191893278604,0.41966250917094644,1.1143354637250336,0.01505633258138983,1.074196693302475,0.15777161694321457
frozenset({'root vegetables'}),frozenset({'other vegetables'}),0.23063109286813752,0.3766033863519754,0.09415084658799384,0.4082313681868743,1.0839822024471635,0.007294396015796345,1.0534465332134855,0.1007002334111371
frozenset({'sausage'}),frozenset({'other vegetables'}),0.2060030785017958,0.3766033863519754,0.09286813750641354,0.4508094645080946,1.1970403900902948,0.015286680543705425,1.1351190039894872,0.2073135247547728
frozenset({'shopping bags'}),frozenset({'other vegetables'}),0.16829143150333503,0.3766033863519754,0.07311441765007697,0.4344512195121952,1.1536041237455972,0.009735294651899484,1.102286195560928,0.1600939424440189
frozenset({'whipped/sour cream'}),frozenset({'other vegetables'}),0.15469471523858389,0.3766033863519754,0.06695741405849154,0.4328358208955224,1.1493147342307537,0.00869886044888632,1.0991466609057279,0.15369159123018167
